Year,"Population, total",Population growth (annual %),Surface area (sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any method (% of married women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)",Agricultural land (% of land area),"Birth rate, crude (per 1,000 people)",Current account balance (% of GDP),Current health expenditure (% of GDP),Expense (% of GDP),GDP per capita growth (annual %),GNI growth (annual %),Rural population (% of total population),"Unemployment, total (% of total labor force) (national estimate)"
2000,77958223,2.216794064,300000,33,91937754123,1180,2.93213E+11,3760,5.1,69.413,3.714,52.43,47,58,37.7,..,78,..,..,..,0.1,73092.6,..,512.967657,0.922837864,499.5624387,83669788255,4.382504833,5.816933559,13.94109439,34.97528449,43.34421929,41.8091493,15.68436418,13.98347914,..,31.05142315,1.608226621,8.27925362,..,89.76358321,100,58445298798,7.717647343,-122971,21000000,1487000000,7.090977276,1073.264436,-2115000000,3.977125032,37.67649328,28.769,-2.662848857,3.05512357,15.70434548,2.094018889,0.71307173,53.865,11.19
2001,79626086,2.116867209,300000,..,93185152410,1170,3.09378E+11,3890,..,69.614,3.718,53.447,49.5,..,37,..,81,100.4146194,74.73001099,1.030310035,0.1,72623.06,..,480.8872183,0.882362848,519.1389164,78921234458,3.04923151,5.618862266,13.3028093,34.89761526,41.15550151,43.74488712,18.94517588,14.18373299,..,26.91971324,1.471378833,15.27032611,..,84.98473251,98.65499827,58391331922,10.83088206,-185071,24000000,760000000,6.947220697,991.1479821,-335000000,5.345501956,37.5088037,28.84,-2.217400693,2.84775972,16.37615976,0.890742891,3.067118021,53.95,3.7
2002,81285572,2.06267819,300000,..,92132148301,1130,3.25752E+11,4010,..,69.781,3.656,52.242,48.8,..,36.3,..,82,94.45062256,79.1892395,1.026379943,0.1,72153.52,..,477.508936,0.876627897,522.8111085,84307346432,3.716255002,4.231091814,13.44841341,34.78343526,40.00567994,43.83912415,20.45913714,13.31405682,..,21.95233367,1.473890188,18.92463893,..,90.50219611,91.98845174,60054060380,11.05019232,-195877,21000000,1769000000,6.805389678,1037.174794,-1477000000,2.722772277,37.34446792,28.398,-0.334490423,2.63767385,16.23981825,1.598835281,3.62841421,54.035,..
2003,82942837,2.018312505,300000,24.9,97137343964,1170,3.48688E+11,4200,5.2,69.924,3.604,52.131,48.9,59.8,35.6,20.7,87,95.0076828,81.28061676,1.02481997,0.1,71683.98,..,469.1635035,0.88183504,556.1661702,87039092439,5.086911135,3.192131329,13.15094766,34.54056403,42.30501837,45.26962599,19.52873561,13.57727725,17,26.62679418,1.550844829,27.13864248,..,90.54207459,95.11153567,62754158524,10.71145294,-204925,18000000,492000000,8.738186994,1049.386488,-188000000,2.289156627,37.69661602,27.986,0.327439076,3.07663488,16.30398793,2.987189615,4.966080208,54.12,3.53
2004,84607501,1.98712673,300000,..,1.08903E+11,1290,3.81279E+11,4510,..,70.037,3.543,50.739,49.3,..,34.9,..,92,93.7217865,83.33083344,1.025660038,0.1,71214.44,..,458.4626486,0.883116735,575.9536616,95002000250,6.569228512,5.890758534,13.98440369,33.61869621,41.82684099,45.29844383,20.73100745,13.31541621,17,30.10663978,1.36062651,38.92784282,..,90.29599353,92.02100124,61142718543,11.05461343,-182951,17000000,592000000,5.496084913,1122.855528,-109000000,4.829210836,38.46798806,27.466,1.710490301,3.0468533,15.24835859,4.472464559,6.350943317,54.205,3.55
2005,86261250,1.93575552,300000,..,1.18828E+11,1380,4.14301E+11,4800,..,70.24,3.49,51.477,49.3,..,34.2,..,92,93.54663849,82.9036026,1.030189991,0.1,70744.9,..,450.4178875,0.883249431,576.7363677,1.0742E+11,4.942505119,5.910893448,13.517547,33.81367631,41.23003922,42.61563535,18.56653007,13.78183359,17,37.04964454,1.33179525,40.31821357,..,84.47404451,92.29576897,58687841834,8.080864147,-223074,195378604,1664000000,6.813720063,1245.286591,-869882703.3,6.516853933,38.08230204,27.019,1.852907579,3.74253035,16.50757815,2.930610289,5.364644467,54.29,3.8
2006,87901835,1.884019828,300000,26.6,1.3114E+11,1490,4.47487E+11,5090,5,70.282,3.486,52.842,50.6,..,33.6,..,92,91.1213913,81.27030945,1.027840018,0.1,70275.36,2.39449353,438.777848,0.788442016,567.6559539,1.27653E+11,5.316416821,5.111586663,13.36124911,33.46258533,41.24545937,39.6050793,16.01533777,14.8884412,17,53.1532972,1.315163937,48.76907405,..,79.50307282,90.59295896,57591538398,9.482184073,-235227,63286334.98,2707414997,6.769028312,1452.22142,-1639102233,5.485232068,38.83690512,26.924,5.454522526,3.77762938,14.57462912,3.350809008,4.800769169,54.375,4.05
2007,89561377,1.870348631,300000,..,1.53391E+11,1710,4.88571E+11,5460,..,70.483,3.444,53.863,..,..,33.1,..,92,90.91187286,81.2244873,1.023470044,0.1,69805.82,2.469037011,431.5121908,0.817880458,580.6409162,1.5598E+11,6.51929155,3.164289755,13.60650762,33.00086093,38.01418634,35.63079365,16.12864711,14.54989399,17,65.93952489,1.291425916,64.02850974,..,69.53565601,88.50836546,59170382966,4.881534567,-217909,65935652.55,2918724841,7.104513121,1741.603505,2453941126,2.9,39.54120133,26.607,5.174973375,3.75318074,13.88809377,4.545525134,6.286746772,54.46,3.43
2008,91252326,1.870431577,300000,..,1.82337E+11,2000,5.21418E+11,5710,..,70.564,3.404,56.421,50.7,62.2,32.6,20.6,90,91.79592133,81.96437836,1.021319985,0.1,69336.28,2.545290543,439.496271,0.822328628,582.3522789,1.81625E+11,4.344487305,7.179216183,14.51607476,32.76528841,33.35683324,34.32423753,18.96714692,14.56694131,17,28.64732641,1.250329088,74.64704735,..,60.28807946,77.83823294,58261783058,5.233033357,-190626,116943064.8,1340027563,0.732912795,1990.356146,630006878,8.260447036,40.27903545,26.357,0.079295946,3.86315918,13.58159941,2.41093433,4.630244609,54.545,3.72
2009,92946951,1.84004285,300000,26.3,2.00666E+11,2160,5.42975E+11,5840,5.3,70.633,3.363,58.592,..,..,32.2,..,89,91.51911926,84.11602783,1.017799973,0.1,68866.74,2.611694401,410.8430195,0.821133982,585.5167858,1.75975E+11,1.448323063,2.738258566,14.54021332,31.52254268,30.2195256,30.66706519,17.4317212,13.38311795,18,49.06921472,1.202323394,81.32235128,..,47.91255449,83.20042232,55976153264,4.57954417,-232359,93790177.69,2064620678,3.654665363,1893.281623,-167490840.2,4.219030521,40.58087668,26.148,4.800783543,4.16451931,14.50948568,-0.401300433,3.616859576,54.629,3.86
2010,94636700,1.801643904,300000,..,2.22926E+11,2360,5.88065E+11,6210,..,70.754,3.264,61.355,..,..,31.8,..,87,..,..,..,0.1,68397.2,2.745449134,426.8654338,0.865602879,633.3906402,2.08369E+11,7.33449996,4.370884364,13.74886505,32.33955605,32.87482972,33.22944879,20.44177114,12.84705916,18,75.50095326,1.170132201,87.86246562,..,52.77467225,81.16541669,65349886588,4.945364545,-183268,109142109.1,1070386940,6.154589205,2201.776819,1641779592,3.789836348,40.58087668,25.511,3.445409191,4.13107872,13.79368894,5.418030304,7.078101354,54.668,3.61
2011,96337913,1.781658802,300000,..,2.40843E+11,2500,6.2105E+11,6450,..,70.788,3.122,57.614,48.9,72.2,31.4,20.2,86,..,..,..,0.1,68746.06,2.824712958,422.1258146,0.856822589,638.3364356,2.34217E+11,3.858232828,3.918805775,14.09573515,31.33868278,29.10542888,31.69040782,20.73993657,13.39827872,17,70.47593035,1.153414552,97.77022573,..,47.99059387,75.11144806,66105387849,3.665201887,-103875,134766836.3,2007150725,-1.410348127,2431.199965,342490414.4,4.718417047,41.11748331,24.416,2.409190695,4.02518559,13.52119066,2.024219921,3.196947508,54.478,3.59
2012,98032317,1.743525151,300000,25.2,2.78223E+11,2840,6.79681E+11,6930,5.2,70.881,3.127,57.22,..,..,31,..,84,..,..,..,0.1,69094.92,3.012758099,441.229202,0.878944848,658.5685412,2.61921E+11,6.896951711,1.994176097,13.09580701,31.39949336,27.46707386,30.37493166,19.56072797,13.80323438,17,87.55198722,1.10670419,104.0252318,..,45.02854141,74.96062186,69363025733,1.962789022,-156051,152357507,3215415155,-0.034376418,2671.777538,957805177.3,3.026963911,41.68762786,24.457,2.653278204,4.17709208,13.54548137,5.049330149,7.153880111,54.288,3.5
2013,99700107,1.686956057,300000,..,3.12617E+11,3140,7.30911E+11,7330,..,70.835,3.096,57.128,55.1,72.8,30.6,19.9,83,..,..,..,0.1,69443.78,3.20855643,449.2949341,0.957913716,677.2811187,2.83903E+11,6.750531301,2.061063359,12.4734251,30.77544663,26.17741981,29.64736142,20.64222411,14.21555059,17,76.54740892,1.189501729,103.1328562,..,43.12637536,73.519289,66191184712,1.85319669,-199869,210262023.3,3737371740,1.926377045,2847.567954,-90422443.46,2.582687661,41.81842573,24.286,4.009649568,4.27408695,13.207152,4.964801336,7.521897801,54.097,3.5
2014,101325201,1.616840604,300000,..,3.34247E+11,3300,7.80293E+11,7700,..,71.151,3.031,55.16,..,..,30.2,..,81,98.58690643,86.96585846,1.015310049,0.1,69792.64,3.412841401,470.4966536,1.00490795,690.7659626,2.97484E+11,6.347987483,3.053055301,12.27168162,31.04744448,27.35450419,30.1136679,20.92397044,14.4354569,17,88.01853652,1.043127066,109.8700461,..,43.9708342,76.75187217,77168094842,2.271918754,-237890,182981951.7,5739574024,6.685799739,2935.928578,1014348569,3.597823439,41.91568568,23.827,3.615639158,3.70313668,12.82164777,4.642336029,6.164532178,53.907,3.6
2015,103031365,1.669830021,300000,23.5,3.45551E+11,3350,8.17731E+11,7940,5.6,71.268,2.951,52.717,..,..,29.8,21.4,80,..,87.85105896,1.007279992,0.1,70141.5,3.546827218,..,1.077253514,..,3.06446E+11,6.348309717,-0.71968279,10.99649915,30.48195098,27.20805724,31.93353487,21.34094787,14.67705028,17,77.9321773,1.08846304,114.3710694,..,43.58910084,82.16603765,76269543902,3.09756828,6954,153322154.9,5639155962,4.99799272,2974.29692,-99650560.95,0.674192537,42.01294564,23.252,2.370949857,3.8982749,13.47674112,4.587218252,6.212452101,53.716,3.07
2016,104875266,1.77382447,300000,..,3.57905E+11,3410,8.87291E+11,8460,..,71.387,2.892,50.849,..,..,29.3,..,80,103.134613,88.45581055,1.008820057,0.1,70490.4,3.769430452,..,1.152751307,..,3.18627E+11,7.14945675,1.280311744,10.20512553,30.28591717,26.67300334,35.10306242,24.6185031,14.50973202,17,75.2409693,1.045585147,114.5140314,..,44.64405033,82.95317295,74750940393,3.105524991,79051,196072883.6,8279548275,2.704641473,3038.152046,-5882813657,1.253698801,42.11020559,22.836,-0.37626266,3.95484328,13.43514901,5.265571274,6.762124791,53.525,2.7
2017,106738501,1.76102262,300000,..,3.71433E+11,3480,9.48319E+11,8880,..,71.516,2.865,50.202,54.3,84.4,28.7,..,78,108.6775284,86.16291046,1.018489957,0.1,70839.3,3.825127391,..,1.250314542,..,3.28481E+11,6.930988326,2.320259946,10.18295413,30.12655058,29.55229085,38.61607889,25.55877386,14.93213807,17,88.40744259,1.247077075,112.3979818,60.3175184,51.94064071,81.27652364,73105675383,3.073099289,36111,246211590.1,10256442399,1.503487441,3077.434432,-6951710900,2.853187726,42.20746554,22.664,-0.652387927,3.96042776,13.61315757,5.064393253,6.81740652,53.318,2.55
2018,108568836,1.700247766,300000,16.7,3.95268E+11,3640,1.02925E+12,9480,6.2,71.689,2.831,50.112,..,..,28,..,77,115.4368973,84.04538727,1.02580893,0.1,71188.1,4.051519214,..,1.28139073,..,3.46842E+11,6.341485572,3.74065383,9.650140358,30.56374015,30.21360537,41.94979293,27.15058204,15.51845144,14,74.4303564,0.819584674,123.9757392,61.34579372,52.64848383,78.25050446,78967285430,2.295819033,-15371,258523555.9,9948598824,5.041962727,3194.672704,-5832900584,5.309346616,42.30472549,22.445,-2.559393061,3.9538188,14.21255932,4.548700918,5.878269934,53.093,2.34
2019,110380804,1.655183692,300000,..,4.16217E+11,3770,1.1053E+12,10010,..,71.865,2.805,49.619,..,..,27.3,..,75,105.7552643,89.76526642,1.025194764,0.2,71537,4.614389244,..,1.32152779,..,3.76823E+11,6.118525662,0.697076297,8.820323747,30.32750788,28.38292001,40.45892225,26.40180846,16.06915835,13,73.0586759,0.920263122,151.5865313,62.24658366,48.6283489,79.15322693,83625343901,2.560869125,-24066,225723157.6,8671365874,8.02920424,3413.849067,-5320429168,2.392065344,42.40198544,22.254,-0.808557857,4.16646004,14.83598371,4.376525552,5.424620243,52.851,2.24
2020,112190977,1.626632905,300000,..,3.75815E+11,3350,9.9073E+11,8830,..,72.119,2.777,49.156,..,..,26.5,..,72,102.8146057,91.98799896,1.023869872,0.2,71885.9,4.175178076,..,1.189679452,..,3.61751E+11,-9.51829474,1.650490187,10.18531103,28.39991759,25.20283931,32.96672099,17.43337903,15.9052545,..,75.40827263,1.012423923,133.3257005,67.04488322,42.74485429,82.02161155,98493687903,2.407496454,-41937,211194462.4,6822133291,12.98000988,3224.422811,-3260102017,2.393162393,42.50930677,22.039,3.200650092,5.11274004,19.56030292,-10.97819414,-11.44640454,52.592,2.52
2021,113880328,1.494557167,..,18.1,4.04198E+11,3550,1.05349E+12,9250,6.5,69.266,2.748,48.202,..,..,25.7,..,57,94.82428741,90.44023895,1.026121378,0.2,..,..,..,..,..,3.94087E+11,5.714733132,2.282478462,10.06916603,28.88980668,25.75203378,37.73257671,21.14073715,15.48051244,..,..,1.037847464,143.4358742,64.22525289,50.49261133,..,1.06428E+11,2.992532487,-80125,255923482.9,11983363327,14.33478442,3460.539401,-9732242739,3.927180221,..,21.813,-1.507977651,5.6067462,19.13922922,4.146514167,1.678522609,52.316,3.4
2022,115559009,1.46331573,..,..,4.57022E+11,3950,1.24001E+12,10730,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.04284E+11,7.570332488,5.481077739,9.549349895,29.22623722,28.38510632,44.03158026,24.69818262,..,..,..,..,..,..,55.23117888,..,..,..,..,188511911.2,9199942906,..,3498.509816,-5299901262,5.821158112,..,..,-4.410763448,..,..,6.0076999,9.83419339,52.023,..
